"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Zottegem","2","0","0","1","1","2","1","0","0","0"
"Vlaams Brabant","49","70","58","50","35","48","47","38","34","10"
"Brussel (Halle-Vilvoorde)","26","28","28","22","14","29","28","22","22","3"
"Geen PZ toegekend - Brussels Airport","0","0","0","0","0","0","0","0","0","0"
"Brussels Airport","0","0","0","0","0","0","0","0","0","0"
"KASTZE","1","1","2","2","1","0","1","3","0","1"
"Kampenhout","1","0","1","1","1","0","0","1","0","1"
"Steenokkerzeel","0","1","0","1","0","0","1","1","0","0"
"Zemst","0","0","1","0","0","0","0","1","0","0"
"PAJOTTENLAND","1","0","5","1","0","2","3","1","3","0"
"Bever","0","0","0","0","0","0","0","1","1","0"
"Galmaarden","0","0","0","0","0","0","1","0","1","0"
"Gooik","0","0","3","0","0","1","2","0","1","0"
"Herne","1","0","2","0","0","0","0","0","0","0"
"Lennik","0","0","0","1","0","1","0","0","0","0"
"Pepingen","0","0","0","0","0","0","0","0","0","0"
"POL AMOW","1","3","1","3","3","1","2","3","5","1"
"Asse","1","0","1","2","0","0","2","1","3","0"
"Merchtem","0","2","0","1","0","1","0","0","1","0"
"Opwijk","0","1","0","0","3","0","0","1","1","1"
"Wemmel","0","0","0","0","0","0","0","1","0","0"
"POLITIEZONE K-L-M","1","1","4","0","1","3","8","3","0","0"
"Kapelle-op-den-Bos","0","0","2","0","0","0","1","0","0","0"
"Londerzeel","1","0","1","0","0","0","5","0","0","0"
"Meise","0","1","1","0","1","3","2","3","0","0"
"POLITIEZONE TARL","1","1","1","3","2","0","1","1","0","0"
"Affligem","0","0","1","0","1","0","0","1","0","0"
"Liedekerke","0","0","0","1","0","0","0","0","0","0"
"Roosdaal","1","0","0","1","0","0","1","0","0","0"
"Ternat","0","1","0","1","1","0","0","0","0","0"
"PZ DILBEEK","0","2","2","1","0","0","1","1","3","0"
"Dilbeek","0","2","2","1","0","0","1","1","3","0"
"PZ DRUIVENSTREEK","0","2","1","2","0","0","2","0","0","0"
"Hoeilaart","0","0","0","1","0","0","0","0","0","0"
"Overijse","0","2","1","1","0","0","2","0","0","0"
"PZ GRIMBERGEN","1","2","3","3","0","3","0","1","1","0"
"Grimbergen","1","2","3","3","0","3","0","1","1","0"
"PZ ZAVENTEM","2","3","0","1","1","2","3","0","3","0"
"Zaventem","2","3","0","1","1","2","3","0","3","0"
"PZ ZENNEVALLEI","10","4","7","1","2","7","4","3","4","0"
"Beersel","1","1","2","0","0","0","0","0","2","0"
"Halle","2","1","3","1","1","4","3","2","2","0"
"Sint-Pieters-Leeuw","7","2","2","0","1","3","1","1","0","0"
"VILVOORDE - MACHELEN","1","5","1","5","1","8","3","5","3","0"
"Machelen","0","1","0","1","0","5","0","3","0","0"
"Vilvoorde","1","4","1","4","1","3","3","2","3","0"
"WOKRA","0","0","0","0","1","3","0","1","0","1"
"Kraainem","0","0","0","0","1","2","0","0","0","0"
"Wezembeek-Oppem","0","0","0","0","0","1","0","1","0","1"
"ZONE RODE","7","4","1","0","2","0","0","0","0","0"
"Drogenbos","1","1","0","0","1","0","0","0","0","0"
"Linkebeek","0","0","0","0","0","0","0","0","0","0"
"Sint-Genesius-Rode","6","3","1","0","1","0","0","0","0","0"
"Leuven","23","42","30","28","21","19","19","16","12","7"
"DEMERDAL - DSZ","6","3","2","4","1","4","2","0","0","1"
"Diest","4","3","2","3","0","2","1","0","0","1"
"Scherpenheuvel-Zichem","2","0","0","1","1","2","1","0","0","0"
"HAACHT","1","3","1","0","4","3","2","1","1","1"
"Boortmeerbeek","1","1","0","0","1","0","2","0","0","1"
"Haacht","0","2","1","0","1","3","0","1","0","0"
"Keerbergen","0","0","0","0","2","0","0","0","1","0"
"HERKO","1","1","3","2","1","0","1","0","1","1"
"Herent","0","1","1","1","0","0","1","0","1","0"
"Kortenberg","1","0","2","1","1","0","0","0","0","1"
"POLITIEZONE AARSCHOT","0","2","1","4","1","2","4","0","2","1"
"Aarschot","0","2","1","4","1","2","4","0","2","1"
"POLITIEZONE BRT","3","1","2","5","2","2","2","1","2","0"
"Begijnendijk","0","0","0","0","1","0","0","1","2","0"
"Rotselaar","2","0","1","5","0","2","0","0","0","0"
"Tremelo","1","1","1","0","1","0","2","0","0","0"
"PZ BIERBEEK/BOUTERSEM/HOLSBEEK/LUBBEEK","1","1","0","0","1","1","0","3","3","0"
"Bierbeek","0","0","0","0","0","0","0","1","0","0"
"Boutersem","0","0","0","0","0","0","0","1","0","0"
"Holsbeek","1","1","0","0","1","1","0","1","2","0"
"Lubbeek","0","0","0","0","0","0","0","0","1","0"
"PZ GETEVALLEI","2","10","9","8","6","2","5","4","1","2"
"Hoegaarden","1","1","1","0","0","0","0","0","0","0"
"Landen","0","2","0","2","0","0","1","1","0","1"
"Linter","0","1","0","0","1","0","0","0","0","0"
"Tienen","1","6","8","4","4","2","2","0","1","0"
"Zoutleeuw","0","0","0","2","1","0","2","3","0","1"
"PZ LEUVEN","3","13","8","3","4","4","0","2","0","1"
"Leuven","3","13","8","3","4","4","0","2","0","1"
"PZ VOER EN DIJLE","3","4","1","2","1","0","2","2","1","0"
"Bertem","1","1","0","0","0","0","1","1","0","0"
"Huldenberg","0","0","0","1","1","0","0","0","1","0"
"Oud-Heverlee","0","1","0","0","0","0","0","1","0","0"
"Tervuren","2","2","1","1","0","0","1","0","0","0"
"ZONE HAGELAND","3","4","3","0","0","1","1","3","1","0"
"Bekkevoort","1","1","0","0","0","1","0","1","0","0"
"Geetbets","2","0","1","0","0","0","0","0","0","0"
"Glabbeek","0","0","0","0","0","0","1","1","0","0"
"Kortenaken","0","0","2","0","0","0","0","0","0","0"
"Tielt-Winge","0","3","0","0","0","0","0","1","1","0"
"West-Vlaanderen","59","78","62","67","76","61","75","67","60","29"
"West-Vlaanderen","59","78","62","67","76","61","75","67","60","29"
"GAVERS","2","7","1","5","8","0","3","5","3","1"
"Deerlijk","0","1","0","0","0","0","0","1","0","0"
"Harelbeke","2","6","1","5","8","0","3","4","3","1"
"GRENSLEIE","5","6","4","5","4","6","3","3","4","1"
"Ledegem","0","0","0","0","0","0","0","0","0","0"
"Menen","5","3","1","2","4","3","3","2","4","1"
"Wevelgem","0","3","3","3","0","3","0","1","0","0"
"Geen PZ toegekend - Noordzee","0","0","0","0","0","0","0","0","0","0"
"Noordzee","0","0","0","0","0","0","0","0","0","0"
"MIDOW","0","5","2","1","1","2","1","3","0","1"
"Dentergem","0","1","1","0","0","0","0","1","0","0"
"Ingelmunster","0","0","0","0","0","0","0","0","0","0"
"Meulebeke","0","1","0","1","0","1","1","0","0","0"
"Oostrozebeke","0","2","0","0","1","1","0","1","0","1"
"Wielsbeke","0","1","1","0","0","0","0","1","0","0"
"MIRA","3","3","2","7","3","2","5","1","5","0"
"Anzegem","1","1","0","0","1","1","2","0","0","0"
"Avelgem","0","0","0","1","0","1","1","0","2","0"
"Spiere-Helkijn","0","0","0","0","1","0","0","0","0","0"
"Waregem","2","1","1","6","1","0","1","1","1","0"
"Zwevegem","0","1","1","0","0","0","1","0","2","0"
"POLDER","2","5","3","3","3","3","5","4","0","1"
"Diksmuide","1","1","2","1","1","0","2","0","0","0"
"Houthulst","1","3","0","1","1","1","1","0","0","0"
"Koekelare","0","0","0","0","0","2","2","2","0","1"
"Kortemark","0","1","1","1","1","0","0","2","0","0"
"POLITIEZONE ARRO IEPER","4","11","12","7","9","5","8","6","2","3"
"Heuvelland","0","1","2","0","0","0","0","3","0","0"
"Ieper","2","0","2","2","3","2","0","1","1","2"
"Langemark-Poelkapelle","0","2","1","1","0","2","0","0","0","0"
"Mesen","0","0","1","1","0","0","0","0","0","0"
"Moorslede","0","2","0","0","1","0","1","0","0","0"
"Poperinge","0","3","5","1","2","0","3","0","0","1"
"Staden","0","0","1","0","1","0","0","0","0","0"
"Vleteren","0","1","0","0","0","0","0","0","1","0"
"Wervik","0","0","0","2","1","0","2","0","0","0"
"Zonnebeke","2","2","0","0","1","1","2","2","0","0"
"POLITIEZONE HET HOUTSCHE","3","4","0","3","2","1","0","4","5","1"
"Beernem","0","2","0","0","0","0","0","2","0","0"
"Oostkamp","2","2","0","1","1","0","0","1","0","0"
"Zedelgem","1","0","0","2","1","1","0","1","5","1"
"POLITIEZONE KOUTER","3","5","3","1","6","2","5","4","7","3"
"Gistel","1","3","2","0","2","0","1","0","1","1"
"Ichtegem","1","0","1","0","2","1","2","0","0","0"
"Jabbeke","1","0","0","0","0","0","1","0","2","0"
"Oudenburg","0","1","0","0","0","0","0","1","2","2"
"Torhout","0","1","0","1","2","1","1","3","2","0"
"POLITIEZONE MIDDELKERKE","0","0","4","1","1","1","2","0","1","1"
"Middelkerke","0","0","4","1","1","1","2","0","1","1"
"POLITIEZONE RIHO","7","3","3","11","11","9","12","12","5","4"
"Hooglede","0","0","0","5","7","0","2","0","0","1"
"Izegem","5","1","0","2","1","3","1","3","0","1"
"Roeselare","2","2","3","4","3","6","9","9","5","2"
"POLITIEZONE SPOORKIN","2","1","1","1","3","0","3","1","0","0"
"Alveringem","0","0","0","0","1","0","1","0","0","0"
"Lo-Reninge","0","0","0","0","1","0","1","0","0","0"
"Veurne","2","1","1","1","1","0","1","1","0","0"
"PZ BLANKENBERGE/ZUIENKERKE","0","1","3","4","1","1","3","2","2","0"
"Blankenberge","0","1","3","4","1","1","3","2","2","0"
"Zuienkerke","0","0","0","0","0","0","0","0","0","0"
"PZ BREDENE/DE HAAN","3","2","2","1","4","2","0","2","4","3"
"Bredene","2","2","2","1","3","1","0","1","3","3"
"De Haan","1","0","0","0","1","1","0","1","1","0"
"PZ BRUGGE","7","4","3","2","5","8","5","6","4","2"
"Brugge","7","4","3","2","5","8","5","6","4","2"
"PZ DAMME/KNOKKE-HEIST","1","2","3","1","0","1","1","1","2","0"
"Damme","0","1","1","1","0","1","0","0","1","0"
"Knokke-Heist","1","1","2","0","0","0","1","1","1","0"
"PZ OOSTENDE","8","7","3","7","6","4","2","1","5","3"
"Oostende","8","7","3","7","6","4","2","1","5","3"
"REGIO TIELT","3","2","2","3","2","3","8","3","2","1"
"Ardooie","1","1","1","1","0","0","1","0","0","1"
"Lichtervelde","0","0","0","2","0","1","3","0","0","0"
"Pittem","0","0","1","0","0","0","0","0","0","0"
"Ruiselede","2","0","0","0","1","0","1","0","0","0"
"Tielt","0","0","0","0","0","1","1","1","2","0"
"Wingene","0","1","0","0","1","1","2","2","0","0"
"VLAS","2","8","6","2","5","6","6","4","7","2"
"Kortrijk","2","6","6","2","5","5","2","4","4","2"
"Kuurne","0","2","0","0","0","1","4","0","3","0"
"Lendelede","0","0","0","0","0","0","0","0","0","0"
"WESTKUST","4","2","5","2","2","5","3","5","2","2"
"De Panne","2","0","1","0","1","1","1","3","1","2"
"Koksijde","1","0","3","1","1","2","1","1","0","0"
"Nieuwpoort","1","2","1","1","0","2","1","1","1","0"
"Waals Gewest","312","326","319","356","335","300","384","315","287","81"
