
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2014,
    5.2.2.-Robos con fuerza en viviendas,860.0,
    5.2.3.-Robos con fuerza en establecimientos,532.0,
    5.3.-Robos con violencia o intimidación,296.0,
    5.3.1.-Robos con violencia en vía pública,166.0,
    5.3.2.-Robos con violencia en viviendas,27.0,
    5.3.3.-Robos con violencia en establecimientos,58.0,
    5.4.-Sustracción de vehículos,245.0,
    5.5.-Estafas,1046.0,
    5.5.1.-Estafas bancarias,74.0,
    5.6.-Daños,1672.0,
    5.7.-Contra la propiedad intelectual/industrial,28.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,428.0,
    6. SEGURIDAD COLECTIVA,880.0,
    6.1.-Tráfico de drogas,110.0,
    6.2.-Contra la seguridad vial,740.0,
    6.3.-Otros contra la seguridad colectiva,30.0,
    7. FALSEDADES,99.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,277.0,
    10. ORDEN PÚBLICO,377.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,46.0,
    TOTAL INFRACCIONES PENALES,17187.0,
CASTILLA Y LEÓN,
    1. CONTRA LAS PERSONAS,13110.0,
    1.1.-Homicidios dolosos/asesinatos,44.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,14.0,
    1.2.-Lesiones,4708.0,
    1.3.-Malos tratos ámbito familiar,2257.0,
    1.4.-Otros contra las personas,6101.0,
    2. CONTRA LA LIBERTAD,1242.0,
    2.1.-Malos tratos habituales en el ámbito familiar,500.0,
    2.2.-Otros contra la libertad,742.0,
    3. LIBERTAD SEXUAL,281.0,
    3.1.-Agresión sexual,48.0,
    3.2.-Agresión sexual con penetración,28.0,
    3.3.-Corrupción de menores o incapacitados,18.0,
    3.4.-Pornografía de menores,20.0,
    3.5.-Otros contra la libertad e indemnidad sexual,167.0,
    4. RELACIONES FAMILIARES,270.0,
    5. PATRIMONIO,55997.0,
    5.1.-Hurtos,25336.0,
    5.2.-Robos con fuerza en las cosas,11363.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1954.0,
    5.2.2.-Robos con fuerza en viviendas,3847.0,
    5.2.3.-Robos con fuerza en establecimientos,2217.0,
    5.3.-Robos con violencia o intimidación,948.0,
    5.3.1.-Robos con violencia en vía pública,568.0,
