
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2017,
    2. CONTRA LA LIBERTAD,665.0,
    2.1.-Malos tratos habituales en el ámbito familiar,103.0,
    2.2.-Otros contra la libertad,562.0,
    3. LIBERTAD SEXUAL,56.0,
    3.1.-Agresión sexual,10.0,
    3.2.-Agresión sexual con penetración,3.0,
    3.3.-Corrupción de menores o incapacitados,2.0,
    3.4.-Pornografía de menores,6.0,
    3.5.-Otros contra la libertad e indemnidad sexual,35.0,
    4. RELACIONES FAMILIARES,28.0,
    5. PATRIMONIO,4992.0,
    5.1.-Hurtos,2011.0,
    5.2.-Robos con fuerza en las cosas,1092.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,182.0,
    5.2.2.-Robos con fuerza en viviendas,310.0,
    5.2.3.-Robos con fuerza en establecimientos,240.0,
    5.3.-Robos con violencia o intimidación,53.0,
    5.3.1.-Robos con violencia en vía pública,28.0,
    5.3.2.-Robos con violencia en viviendas,4.0,
    5.3.3.-Robos con violencia en establecimientos,10.0,
    5.4.-Sustracción de vehículos,88.0,
    5.5.-Estafas,464.0,
    5.5.1.-Estafas bancarias,36.0,
    5.6.-Daños,1107.0,
    5.7.-Contra la propiedad intelectual/industrial,13.0,
    5.8.-Blanqueo de capitales,2.0,
    5.9.-Otros contra el patrimonio,162.0,
    6. SEGURIDAD COLECTIVA,384.0,
    6.1.-Tráfico de drogas,74.0,
    6.2.-Contra la seguridad vial,274.0,
    6.3.-Otros contra la seguridad colectiva,36.0,
    7. FALSEDADES,69.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,212.0,
    10. ORDEN PÚBLICO,95.0,
    11. LEGISLACIÓN ESPECIAL,10.0,
    12. OTRAS INFRACCIONES PENALES,145.0,
    TOTAL INFRACCIONES PENALES,7662.0,
Cádiz,
    1. CONTRA LAS PERSONAS,5824.0,
    1.1.-Homicidios dolosos/asesinatos,55.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,6.0,
    1.2.-Lesiones,3305.0,
    1.3.-Malos tratos ámbito familiar,2366.0,
    1.4.-Otros contra las personas,98.0,
    2. CONTRA LA LIBERTAD,4065.0,
    2.1.-Malos tratos habituales en el ámbito familiar,290.0,
    2.2.-Otros contra la libertad,3775.0,
    3. LIBERTAD SEXUAL,287.0,
    3.1.-Agresión sexual,57.0,
    3.2.-Agresión sexual con penetración,22.0,
    3.3.-Corrupción de menores o incapacitados,14.0,
    3.4.-Pornografía de menores,28.0,
    3.5.-Otros contra la libertad e indemnidad sexual,166.0,
    4. RELACIONES FAMILIARES,212.0,
    5. PATRIMONIO,34793.0,
    5.1.-Hurtos,15403.0,
    5.2.-Robos con fuerza en las cosas,6393.0,
